STATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
ILLINOIS,USC00113320,"GALESBURG, IL US",40.9464,-90.3856,232,2016,,39.12,,,,
ILLINOIS,USC00114530,"JOLIET BRANDON RD DAM, IL US",41.50339,-88.10339,165.5,2016,,,,,,
ILLINOIS,US1ILKD0034,"PLAINFIELD 4.8 SW, IL US",41.567787,-88.270107,201.5,2016,,42.84,,,,
ILLINOIS,USC00116710,"PEORIA 5 NW, IL US",40.7493,-89.6202,213.4,2016,,38.8,11.5,,,
ILLINOIS,US1ILCP0021,"BROADLANDS 0.1 SSW, IL US",39.907228,-87.996137,207.9,2016,,41.4,,,,
ILLINOIS,US1ILCP0027,"CHAMPAIGN 1.2 S, IL US",40.09577,-88.26204,230.1,2016,,40.27,,,,
ILLINOIS,USC00116837,"PITTSFIELD NUMBER 2, IL US",39.62001,-90.80334,204.2,2016,,27.77,,,,
ILLINOIS,USC00114780,"KNOXVILLE, IL US",40.9026,-90.2897,221.9,2016,,37.48,12.8,52.8,62.1,43.5
ILLINOIS,US1ILFD0009,"GIBSON CITY 3.0 WNW, IL US",40.47889531,-88.43320638,244.8,2016,,39.59,,,,
ILLINOIS,US1ILKN0064,"ST. CHARLES 0.1 E, IL US",41.920096,-88.299032,231.6,2016,,36.77,35.3,,,
ILLINOIS,USW00053802,"MATTOON CHARLESTON COLES CO AIRPORT, IL US",39.47806,-88.28028,219.8,2016,8.5,31.63,,55.1,64.3,45.9
ILLINOIS,US1ILLS0050,"SENECA 1.2 NNE, IL US",41.3193,-88.6048,156.4,2016,,40.63,,,,
ILLINOIS,US1ILKD0024,"OSWEGO 5.0 SSE, IL US",41.629331,-88.299149,206,2016,,39.15,,,,
ILLINOIS,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",42.13987,-87.78537,192,2016,,36.2,,51.7,60.6,42.8
ILLINOIS,USC00112223,"DE KALB, IL US",41.9342,-88.7756,266.1,2016,,38.53,,50.7,59.5,42
ILLINOIS,USC00113312,"GALENA, IL US",42.3995,-90.386,250.5,2016,,42.48,24,49.6,58.8,40.4
ILLINOIS,USC00114400,"IUKA 12 SW, IL US",38.49321,-88.97073,179.8,2016,,46.7,,55.9,65.8,46
ILLINOIS,US1ILLS0052,"MARSEILLES 5.3 WNW, IL US",41.353498,-88.7841254,173.1,2016,,36.47,,,,
ILLINOIS,USC00112348,"DIXON 1 W, IL US",41.83492,-89.51361,201.2,2016,,43.74,,51.9,60.8,43.1
ILLINOIS,US1ILKN0067,"ST. CHARLES 6.0 NW, IL US",41.984009,-88.380313,260,2016,,36.91,,,,
ILLINOIS,US1ILME0009,"ATHENS 1.0 N, IL US",39.975909,-89.725325,184.7,2016,,34.61,,,,
ILLINOIS,USC00114890,"LANSING, IL US",41.5422,-87.5416,189,2016,,36.75,28.1,,,
ILLINOIS,USC00112470,"DUPAGE AIRPORT, IL US",41.9058,-88.2555,231.3,2016,,36.51,,,,
ILLINOIS,US1ILLK0003,"BEACH PARK 1.4 W, IL US",42.428369,-87.883776,217.9,2016,,33.39,,,,
ILLINOIS,US1ILLS0045,"STREATOR 1.3 WSW, IL US",41.115699,-88.852872,189.3,2016,,38.37,,,,
ILLINOIS,US1ILKN0058,"LILY LAKE 2.1 E, IL US",41.945015,-88.4382,263,2016,,37.51,28.4,,,
ILLINOIS,US1ILCP0095,"URBANA 4.2 ESE, IL US",40.09449768,-88.12818146,209.4,2016,,41.17,9.5,,,
ILLINOIS,US1ILWL0046,"PEOTONE 0.4 ENE, IL US",41.333615,-87.789061,223.1,2016,,47.63,,,,
ILLINOIS,USC00115372,"MARSEILLES LOCK, IL US",41.3286,-88.7533,149.4,2016,,43.21,,51.9,61.9,41.8
ILLINOIS,USC00115493,"MC HENRY WG STRATTON LOCK AND DAM, IL US",42.3091,-88.2533,224.3,2016,,32.97,,50,59.8,40.1
ILLINOIS,USC00117551,"RUSHVILLE, IL US",40.12762,-90.55913,205.1,2016,,36.22,13.7,53.7,63.2,44.2
ILLINOIS,US1ILWD0005,"MORRISON 3.2 E, IL US",41.816004,-89.904,224,2016,,45.34,,,,
ILLINOIS,US1ILWD0008,"COLETA 1.4 SSW, IL US",41.887577,-89.813596,241.1,2016,,41.68,,,,
ILLINOIS,US1ILCN0003,"PANA 6.2 NNE, IL US",39.4736,-89.0462,195.1,2016,,40.21,,,,
ILLINOIS,US1ILLS0034,"LA SALLE 0.1 W, IL US",41.340149,-89.095937,183.5,2016,,42.24,,,,
ILLINOIS,US1ILCN0004,"EDINBURG 3.0 W, IL US",39.650883,-89.445167,173.1,2016,,35.74,,,,
ILLINOIS,US1ILCP0082,"SAVOY 0.9 N, IL US",40.0780699,-88.253663,224.3,2016,,36.85,,,,
ILLINOIS,US1ILWL0051,"PLAINFIELD 2.4 SSE, IL US",41.581908,-88.193674,181.1,2016,,42.15,,,,
ILLINOIS,USC00118870,"VIRGINIA, IL US",39.9495,-90.2084,185.9,2016,,32.3,13.6,,,
ILLINOIS,US1ILKN0033,"NORTH AURORA 1.5 NE, IL US",41.816287,-88.306825,219.2,2016,,43.63,,,,
ILLINOIS,USC00117329,"ROANOKE, IL US",40.7983,-89.1947,219.5,2016,,37.85,,,,
ILLINOIS,US1ILWL0025,"CRETE 2.6 E, IL US",41.446808,-87.565684,212.8,2016,,42.8,,,,
